1614242250799858	200	101104
1614242250901010	200	88164
1614242250989195	200	84849
1614242251074064	200	85939
1614242251160030	200	85892
1614242251245944	200	86456
1614242251332425	200	86804
1614242251419256	200	85916
1614242251505194	200	86668
1614242251591893	200	85904
1614242251677838	200	86515
1614242251764377	200	86291
1614242251850692	200	86781
1614242251937500	200	91278
1614242252028801	200	87593
1614242252116421	200	87208
1614242252203654	200	89096
1614242252292773	200	88420
1614242252381216	200	85882
1614242252467126	200	85853
1614242252553005	200	87198
1614242252640233	200	87196
1614242252727456	200	88539
1614242252816021	200	88422
1614242252904464	200	86526
1614242252991010	200	85820
1614242253076849	200	88987
1614242253165861	200	86159
1614242253252042	200	86011
1614242253338074	200	87840
1614242253425941	200	87713
1614242253513677	200	87789
1614242253601493	200	86853
1614242253688373	200	85914
1614242253774307	200	88108
1614242253862442	200	86590
1614242253949058	200	87114
1614242254036198	200	85897
1614242254122119	200	86517
1614242254208658	200	85954
1614242254294637	200	88838
1614242254383501	200	88709
1614242254472233	200	87200
1614242254559458	200	86951
1614242254646434	200	90811
1614242254737270	200	90163
1614242254827457	200	91078
1614242254918559	200	89184
1614242255007768	200	89751
1614242255097543	200	104684
1614242255202255	200	113434
1614242255315713	200	93473
1614242255409207	200	86887
1614242255496118	200	101130
1614242255597280	200	99701
1614242255697003	200	87141
1614242255784175	200	108433
1614242255892631	200	90342
1614242255982999	200	89789
1614242256072813	200	86939
1614242256159774	200	88861
1614242256248682	200	87529
1614242256336234	200	87198
1614242256423459	200	91249
1614242256514730	200	97472
1614242256612226	200	93941
1614242256706187	200	87514
1614242256793728	200	88636
1614242256882386	200	89271
1614242256971687	200	89180
1614242257060948	200	91012
1614242257151990	200	97453
1614242257249464	200	90563
1614242257340046	200	88031
1614242257428103	200	86641
1614242257514770	200	87996
1614242257602793	200	87904
1614242257690723	200	88117
1614242257778869	200	88442
1614242257867379	200	90236
1614242257957643	200	87960
1614242258045629	200	89466
1614242258135125	200	87618
1614242258222768	200	86610
1614242258309402	200	86988
1614242258396414	200	86610
1614242258483048	200	90206
1614242258573282	200	87828
1614242258661138	200	87365
1614242258748531	200	86522
1614242258835101	200	87754
1614242258922878	200	89281
1614242259012189	200	88107
1614242259100316	200	88720
1614242259189059	200	89495
1614242259278579	200	88402
1614242259367003	200	88771
1614242259455797	200	88113
1614242259543940	200	88528
1614242259632491	200	87921
1614242259720451	200	87143
1614242259807624	200	88756
1614242259896409	200	87724
1614242259984162	200	87561
